time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.51981,0.00232668,0,1.99227,0,76.8752
1.52371,0.00259459,0.0686734,1.99139,-0.227067,-58.2038
1.52818,0.00259459,0,1.99139,0,50.7345
1.53242,0.00259459,0,1.99139,0,0
1.53565,0.00303142,0.135416,1.98995,-0.447154,-138.618
1.53979,0.00303142,0,1.98995,0,107.949
1.54366,0.00303142,0,1.98995,0,0
1.54757,0.00337062,0.0867308,1.98883,-0.286058,-73.1416
1.55315,0.00337062,0,1.98883,0,51.2829
1.5554,0.00384488,0.210717,1.98727,-0.694015,-308.359
1.55971,0.00384488,0,1.98727,0,160.913
1.56366,0.00384488,0,1.98727,0,0
1.56738,0.00420503,0.0969258,1.98608,-0.3188,-85.7969
1.57221,0.00420503,0,1.98608,0,65.9927
1.57596,0.00468733,0.128538,1.9845,-0.422163,-112.51
1.5795,0.00468733,0,1.9845,0,119.238
1.58407,0.00468733,0,1.9845,0,0
1.58776,0.00505115,0.0987809,1.9833,-0.32399,-87.9669
1.59218,0.00505115,0,1.9833,0,73.2015
1.59567,0.00553123,0.137899,1.98173,-0.451685,-129.743
1.59979,0.00553123,0,1.98173,0,109.458
1.60338,0.00553123,0,1.98173,0,0
1.60759,0.00589254,0.0859485,1.98055,-0.281108,-66.8701
1.61376,0.00589254,0,1.98055,0,45.511
1.61595,0.0063668,0.216831,1.979,-0.708197,-323.784
1.6202,0.0063668,0,1.979,0,166.707
1.62396,0.0063668,0,1.979,0,0
1.62771,0.00652956,0.0433628,1.97847,-0.141491,-37.6966
1.63267,0.00652956,0,1.97847,0,28.5605
1.63575,0.00619262,-0.109166,1.97957,0.356288,115.432
1.63954,0.00619262,0,1.97957,0,-94.14
1.64373,0.00619262,0,1.97957,0,0
1.64892,0.00575002,-0.0853155,1.98102,0.278804,53.7428
1.6527,0.00575002,0,1.98102,0,-73.7413
1.65573,0.00507383,-0.222686,1.98323,0.729075,240.104
1.65975,0.00507383,0,1.98323,0,-181.578
1.66384,0.00507383,0,1.98323,0,0
1.66775,0.00444034,-0.161928,1.98531,0.531294,135.804
1.67291,0.00444034,0,1.98531,0,-102.848
1.6754,0.00366162,-0.313723,1.98787,1.03179,415.681
1.68115,0.00366162,0,1.98787,0,-179.288
1.6852,0.00366162,0,1.98787,0,0
1.68753,0.00315491,-0.217444,1.98954,0.716646,307.533
1.69231,0.00315491,0,1.98954,0,-150.074
1.69534,0.00310716,-0.0157566,1.9897,0.0519588,17.1437
1.69956,0.00310716,0,1.9897,0,-12.3083
1.70394,0.00310716,0,1.9897,0,0
1.70756,0.00315405,0.0129778,1.98954,-0.0428185,-11.8489
1.71359,0.00315405,0,1.98954,0,7.10166
1.71624,0.00341952,0.0999846,1.98867,-0.329652,-124.161
1.72062,0.00341952,0,1.98867,0,75.3452
1.72413,0.00341952,0,1.98867,0,0
1.72776,0.00364562,0.0622757,1.98792,-0.205148,-56.5048
1.73326,0.00364562,0,1.98792,0,37.338
1.73559,0.00401023,0.155909,1.98672,-0.513151,-219.422
1.73983,0.00401023,0,1.98672,0,121.127
1.74456,0.00429274,0.0596944,1.98579,-0.196247,-41.4669
1.74822,0.00429274,0,1.98579,0,53.6164
